N. articolo SPAI;N. articolo CEAP;N. articolo C&C;ARTICOLO descrizione;IMBALLAGGIO da pz;UNITA';STOCK SPAI;DATA CONTROLLO stock SPAI  da segr;ELIMINARE ARTICOLO  a fine stock;Quantità MINIMA;OSSERVAZIONI;da ordinare SPAI;Ordinare ? (AUTOMATICO)
F3;;;Fogli colorati cubo con portapenna;1;PZ;5;21.04.2021;Si;;;;No, attendere fine stock ed eliminare articolo
F4;;602524;Fogli bianchi cubo con portapenne;1;PZ;3;21.04.2021;;1;;;NO
F5;100000121;;Forbici;1;PZ;13;15/26.3.2021;;5;;;NO
G1;100000163;;Gessi bianchi;100;SC;700;15/26.3.2021;;100;;;NO
G10;;;RICARICA Graffatrici Leitz  / 26-6;1;PZ;10;15/26.3.2021;Si;;vedi G15;;No, attendere fine stock ed eliminare articolo
G12;100000118;;Graffatrici Rapid Classic 45 / 26-6;1;PZ;0;15/26.3.2021;;;;;Manca quantità MINIMA
G15;100000122;;Ricarica 26-6;1000;SC;11000;15/26.3.2021;Si;;vedi G17;;No, attendere fine stock ed eliminare articolo
G16;;915007;Ricarica N°10;1000;SC;4000;15/26.3.2021;Si;;;;No, attendere fine stock ed eliminare articolo
G17;;915008;Ricarica 24-6;1000;SC;2000;15/26.3.2021;;5000;;;SI, 3000
G2;100000164;;Gessi colorati;100;SC;900;15/26.3.2021;;100;;;NO
G2.1;;;Gessi Arancio;10;SC;2;15/26.3.2021;Si;;fuori commercio;;No, attendere fine stock ed eliminare articolo
G2.2;;;Gessi Blu chiaro;10;SC;5;15/26.3.2021;Si;;fuori commercio;;No, attendere fine stock ed eliminare articolo
G2.3;;;Gessi Gialli;10;SC;0;15/26.3.2021;Si;;fuori commercio;;No, attendere fine stock ed eliminare articolo
G2.4;;;Gessi Rosa;10;SC;3;15/26.3.2021;Si;;fuori commercio;;No, attendere fine stock ed eliminare articolo
G2.5;;;Gessi Rossi;10;SC;3;15/26.3.2021;Si;;fuori commercio;;No, attendere fine stock ed eliminare articolo
G2.6;;;Gessi Verde chiaro;10;SC;2;15/26.3.2021;Si;;fuori commercio;;No, attendere fine stock ed eliminare articolo
G20;100000123;;Graffette N°2;100;SC;4600;15/26.3.2021;;1000;;;NO
G21;100000124;;Graffette N°3;100;SC;4600;15/26.3.2021;;1000;;;NO
G22;100000125;;Graffette N°4;100;SC;3400;15/26.3.2021;;1000;;;NO
G23;100000126;;Graffette N°5;100;SC;4200;15/26.3.2021;;1000;;;NO
G25;;;Graffette intrecciate N°2;75;SC;75;15/26.3.2021;Si;;;;No, attendere fine stock ed eliminare articolo
G26;;;Graffette intrecciate N°3;50;SC;50;15/26.3.2021;Si;;;;No, attendere fine stock ed eliminare articolo
G28;;;Graffette d'angolo;100;SC;200;15/26.3.2021;Si;;;;No, attendere fine stock ed eliminare articolo
G5;;;Gomme combi;1;PZ;12;15/26.3.2021;Si;;;;No, attendere fine stock ed eliminare articolo
G6;100000023;;Gomme matita;1;PZ;30;15/26.3.2021;;5;;;NO
G7;;;Gomme penna;1;PZ;36;15/26.3.2021;Si;;;;No, attendere fine stock ed eliminare articolo
I1;100000138;;Inchiostro nero per timbri;1;PZ;3;15/26.3.2021;;3;;;NO
